Dia de din_instante;Mês de din_instante;Val Geração FIXED DAY 2
1;março de 2023;11978,477208333
2;março de 2023;11547,862541667
3;março de 2023;9871,4075
4;março de 2023;10006,944708333
5;março de 2023;9437,887375
6;março de 2023;10369,062541667
7;março de 2023;12409,791708333
8;março de 2023;11718,17025
9;março de 2023;11630,820333333
10;março de 2023;10453,518666667
11;março de 2023;9779,173
12;março de 2023;9806,915541667
13;março de 2023;9179,7065
14;março de 2023;6629,111708333
15;março de 2023;5177,502
16;março de 2023;3458,534
17;março de 2023;4804,239583333
18;março de 2023;2683,647791667
19;março de 2023;4387,077958333
20;março de 2023;4426,9925
21;março de 2023;3035,324708333
22;março de 2023;6125,216291667
23;março de 2023;11388,008458333
24;março de 2023;7613,804083333
25;março de 2023;5361,555583333
26;março de 2023;8337,823333333
27;março de 2023;6362,877291667
28;março de 2023;7790,113458333
29;março de 2023;8201,002833333
30;março de 2023;8877,306291667
31;março de 2023;8744,2305
1;fevereiro de 2023;11655,465791667
2;fevereiro de 2023;9521,498208333
3;fevereiro de 2023;9193,5445
4;fevereiro de 2023;10392,154541667
5;fevereiro de 2023;7267,604916667
6;fevereiro de 2023;5959,156875
7;fevereiro de 2023;9086,44
8;fevereiro de 2023;10175,990166667
9;fevereiro de 2023;9291,339541667
10;fevereiro de 2023;12084,991041667
11;fevereiro de 2023;13355,040166667
12;fevereiro de 2023;10008,130791667
13;fevereiro de 2023;12335,802333333
14;fevereiro de 2023;11592,929916667
15;fevereiro de 2023;9017,287916667
16;fevereiro de 2023;6252,229083333
17;fevereiro de 2023;7995,194583333
18;fevereiro de 2023;8641,495916667
19;fevereiro de 2023;8691,981416667
20;fevereiro de 2023;9698,204625
21;fevereiro de 2023;14164,597875
22;fevereiro de 2023;9776,256583333
23;fevereiro de 2023;7189,979791667
24;fevereiro de 2023;6379,047333333
25;fevereiro de 2023;7172,063083333
26;fevereiro de 2023;8818,297708333
27;fevereiro de 2023;11908,344791667
28;fevereiro de 2023;11799,831791667
1;janeiro de 2023;10840,276
2;janeiro de 2023;9043,559958333
3;janeiro de 2023;7884,585833333
4;janeiro de 2023;7935,550125
5;janeiro de 2023;7970,146
6;janeiro de 2023;6533,710125
7;janeiro de 2023;9774,763125
8;janeiro de 2023;9078,487125
9;janeiro de 2023;9160,866583333
10;janeiro de 2023;9654,4465
11;janeiro de 2023;8034,805291667
12;janeiro de 2023;8852,886166667
13;janeiro de 2023;9429,6935
14;janeiro de 2023;11073,97675
15;janeiro de 2023;10684,696875
16;janeiro de 2023;9182,365
17;janeiro de 2023;10630,447041667
18;janeiro de 2023;10501,853458333
19;janeiro de 2023;7370,024041667
20;janeiro de 2023;4944,0115
21;janeiro de 2023;5018,058333333
22;janeiro de 2023;5049,331416667
23;janeiro de 2023;3400,260416667
24;janeiro de 2023;4749,614125
25;janeiro de 2023;5661,17025
26;janeiro de 2023;5125,966875
27;janeiro de 2023;7259,490708333
28;janeiro de 2023;10748,626041667
29;janeiro de 2023;11315,137666667
30;janeiro de 2023;9675,2165
31;janeiro de 2023;11296,638166667
